split,label,count,proportion
all,dialogue,1660,0.20757784169063398
all,epistolary,18,0.0022508440665249467
all,first_person,1927,0.24096536201075403
all,mixed,63,0.007877954232837313
all,third_person,4329,0.5413279979992497
train,dialogue,1162,0.20761122029658746
train,epistolary,12,0.0021440057173485795
train,first_person,1349,0.24102197605860282
train,mixed,44,0.007861354296944793
train,third_person,3030,0.5413614436305163
dev,dialogue,249,0.2075
dev,epistolary,3,0.0025
dev,first_person,289,0.24083333333333334
dev,mixed,9,0.0075
dev,third_person,650,0.5416666666666666
test,dialogue,249,0.2075
test,epistolary,3,0.0025
test,first_person,289,0.24083333333333334
test,mixed,10,0.008333333333333333
test,third_person,649,0.5408333333333334
